file,commit_count,unique_authors,last_modified_days_ago,bug_fix_count,is_buggy
unknown::tests/test_signals.py,5,1,662,0,0
unknown::tests/test_views.py,3,1,662,0,0
unknown::tests/typing/typing_route.py,5,1,662,0,0
unknown::docs/deploying/asgi.rst,2,2,674,1,1
unknown::docs/testing.rst,2,2,682,2,1
unknown::examples/javascript/README.rst,1,1,696,0,0
unknown::requirements/tests-pallets-min.in,18,2,703,0,0
unknown::docs/patterns/javascript.rst,3,3,711,2,1
unknown::src/flask/sansio/README.md,2,2,743,0,0
unknown::docs/api.rst,4,1,747,0,0
unknown::src/flask/globals.py,4,1,747,0,0
unknown::src/flask/signals.py,4,1,747,0,0
unknown::docs/patterns/appdispatch.rst,4,2,747,2,1
unknown::docs/errorhandling.rst,4,2,747,2,1
unknown::docs/tutorial/install.rst,6,2,747,0,0
unknown::MANIFEST.in,2,1,797,0,0
unknown::docs/patterns/packages.rst,3,1,797,0,0
unknown::examples/javascript/MANIFEST.in,3,1,797,0,0
unknown::examples/tutorial/MANIFEST.in,3,1,797,0,0
unknown::docs/patterns/sqlalchemy.rst,3,2,798,0,0
unknown::src/flask/scaffold.py,11,1,815,2,1
unknown::tests/test_config.py,3,1,853,0,0
unknown::examples/celery/requirements.txt,2,1,854,0,0
unknown::docs/signals.rst,4,2,861,0,0
unknown::artwork/LICENSE.rst,2,1,865,0,0
unknown::artwork/logo-full.svg,2,1,865,0,0
unknown::artwork/logo-lineart.svg,2,1,865,0,0
unknown::docs/_static/flask-icon.png,2,1,865,0,0
unknown::docs/_static/flask-logo.png,2,1,865,0,0
unknown::docs/_static/no.png,2,1,865,0,0
unknown::docs/_static/yes.png,2,1,865,0,0
unknown::docs/debugging.rst,3,1,870,2,1
unknown::docs/deploying/eventlet.rst,3,2,870,1,1
unknown::.devcontainer/devcontainer.json,1,1,872,0,0
unknown::docs/appcontext.rst,2,1,873,0,0
unknown::docs/reqcontext.rst,2,1,873,0,0
